"District IRN","District Name","County","Region","Address","City and Zip Code","Phone #","Superintendent","Four Year Longitudinal Graduation Rate - Class of 2016","Letter Grade of 4 year Graduation Rate 2016","Four Year Graduation Rate Numerator - Class of 2016","Four Year Graduation Rate Denominator - Class of 2016","Four Year Graduation Rate - Similar District Average","Four Year Graduation Rate - Statewide Average","Watermark"
"045039","Wellsville Local","Columbiana","Region 5","929 Center St","Wellsville, OH, 43968-1423","(330) 532-2643","Richard E. Bereschik","86.8","C","46","53","91.7","83.6",""
"045047","Westerville City","Franklin","Region 11","936 Eastwind Dr Ste 200","Westerville, OH, 43081-3319","(614) 797-5700","John R. Kellogg","90.5","B","990","1094","92.9","83.6",""
"045054","West Carrollton City","Montgomery","Region 10","430 E Pease Ave","West Carrollton, OH, 45449-1357","(937) 859-5121","Andrea Townsend","88.9","C","217","244","89.0","83.6",""
"045062","Westlake City","Cuyahoga","Region 3","24525 Hilliard Blvd","Westlake, OH, 44145-3518","(440) 871-7300","Scott E. Goggin","96.9","A","316","326","96.4","83.6",""
"045070","Whitehall City","Franklin","Region 11","625 S Yearling Rd","Whitehall, OH, 43213-2861","(614) 417-5000","Brian D. Hamler","77.0","F","157","204","86.5","83.6",""
"045088","Wickliffe City","Lake","Region 4","2221 Rockefeller Rd","Wickliffe, OH, 44092-2020","(440) 943-6900","Joseph G. Spiccia","89.4","B","110","123","93.5","83.6",""
"045096","Willard City","Huron","Region 7","110 S Myrtle Ave","Willard, OH, 44890-1425","(419) 935-1541","Jeffery R. Ritz","91.2","B","104","114","90.4","83.6",""
"045104","Willoughby-Eastlake City","Lake","Region 4","37047 Ridge Rd","Willoughby, OH, 44094-4130","(440) 946-5000","Stephen L. Thompson","92.9","B","637","686","92.2","83.6",""
"045112","Wilmington City","Clinton","Region 14","341 S Nelson Ave","Wilmington, OH, 45177-2034","(937) 382-1641","Melinda A. Mccarty-Stewart","85.9","C","177","206","91.0","83.6",""
"045120","Wooster City","Wayne","Region 9","144 N Market St","Wooster, OH, 44691-4810","(330) 264-0869","Michael L. Tefs","94.6","A","280","296","91.9","83.6",""
"045138","Worthington City","Franklin","Region 11","200 E Wilson Bridge Rd","Worthington, OH, 43085-2332","(614) 450-6000","Trent H. Bowers","94.9","A","686","723","94.9","83.6",""
"045146","Wyoming City","Hamilton","Region 13","420 Springfield Pike","Wyoming, OH, 45215-4298","(513) 206-7000","Susan K. Lang","98.8","A","160","162","96.4","83.6",""
"045153","Xenia Community City","Greene","Region 10","819 Colorado Dr","Xenia, OH, 45385-4859","(937) 376-2961","Gabriel E. Lofton","84.9","C","282","332","89.5","83.6",""
"045161","Youngstown City","Mahoning","Region 5","PO Box 550","Youngstown, OH, 44501-0550","(330) 744-6915","Joseph S. Meranto","73.8","F","242","328","79.1","83.6",""
"045179","Zanesville City","Muskingum","Region 12","956 Moxahala Ave","Zanesville, OH, 43701-5533","(740) 454-9751","Charles D. Baker","82.8","D","169","204","84.6","83.6",""
"045187","Ada Exempted Village","Hardin","Region 6","725 W North Ave","Ada, OH, 45810-1176","(419) 634-6421","Meri C. Skilliter","91.4","B","64","70","94.8","83.6",""
"045195","Amherst Exempted Village","Lorain","Region 2","185 Forest St","Amherst, OH, 44001-1605","(440) 988-4406","Steven A. Sayers","91.9","B","307","334","93.8","83.6",""
"045203","Barnesville Exempted Village","Belmont","Region 12","210 W Church St","Barnesville, OH, 43713-1069","(740) 425-3615","Angela J. Hannahs","94.8","A","91","96","93.7","83.6",""
"045211","Bluffton Exempted Village","Allen","Region 6","102 S Jackson St","Bluffton, OH, 45817-1218","(419) 358-5901","Gregory J. Denecker","96.3","A","78","81","96.4","83.6",""
"045229","Bradford Exempted Village","Miami","Region 10","760 Railroad Ave","Bradford, OH, 45308-8605","(937) 448-2770","Joseph E. Hurst","100.0","A","43","43","93.4","83.6",""
"045237","Bridgeport Exempted Village","Belmont","Region 12","55781 National Rd","Bridgeport, OH, 43912-1528","(740) 635-1713","Zachary E. Shutler","92.6","B","63","68","91.4","83.6",""
"045245","Harrison Hills City","Harrison","Region 12","730 Peppard Ave","Cadiz, OH, 43907-1067","(740) 942-7800","Dana L. Snider","87.1","C","122","140","92.7","83.6",""
"045252","Caldwell Exempted Village","Noble","Region 12","516 Fairground St","Caldwell, OH, 43724-1175","(740) 732-5637","Kacey R. Cottrill","94.5","A","52","55","92.4","83.6",""
"045260","Carey Exempted Village Schools","Wyandot","Region 7","2016 Blue Devil Drive","Carey, OH, 43316-1282","(419) 396-7922","Michael A. Wank","86.6","C","58","67","94.5","83.6",""
"045278","Carrollton Exempted Village","Carroll","Region 12","252 3rd St NE","Carrollton, OH, 44615-1236","(330) 627-2181","David P. Quattrochi","92.5","B","185","200","92.0","83.6",""
"045286","Chagrin Falls Exempted Village","Cuyahoga","Region 3","400 E Washington St","Chagrin Falls, OH, 44022-2924","(440) 247-5500","Robert W. Hunt","98.8","A","167","169","97.0","83.6",""
"045294","Chesapeake Union Exempted Village","Lawrence","Region 15","10183 County Road 1","Chesapeake, OH, 45619-7032","(740) 867-3135","Jerry L. McConnell","97.4","A","113","116","92.8","83.6",""
"045302","Clyde-Green Springs Exempted Village","Sandusky","Region 1","106 S Main St","Clyde, OH, 43410-1633","(419) 547-0588","Dennis M. Haft","97.5","A","155","159","92.2","83.6",""
"045310","Coldwater Exempted Village","Mercer","Region 6","310 N 2nd St","Coldwater, OH, 45828-1242","(419) 678-2611","Jason E. Wood","100.0","A","101","101","95.0","83.6",""
"045328","Columbiana Exempted Village","Columbiana","Region 5","700 Columbiana Waterford Rd","Columbiana, OH, 44408-9499","(330) 482-5353","Donald J. Mook","97.4","A","76","78","94.7","83.6",""
"045336","Covington Exempted Village","Miami","Region 10","807 Chestnut St","Covington, OH, 45318-1760","(937) 473-2249","CHARLES E. GOODING","100.0","A","62","62","93.3","83.6",""
"045344","Crestline Exempted Village","Crawford","Region 7","401 Heiser Ct","Crestline, OH, 44827-1360","(419) 683-3647","Noreen L. Mullens","91.5","B","43","47","89.1","83.6",""
"045351","Crooksville Exempted Village","Perry","Region 16","4065 Ceramic Way","Crooksville, OH, 43731-1013","(740) 982-7040","Matthew L. Sheridan","89.1","B","82","92","90.1","83.6",""
"045369","Fairport Harbor Exempted Village","Lake","Region 4","329 Vine St","Fairport Harbor, OH, 44077-5741","(440) 354-5400","Domenic A. Paolo","86.4","C","38","44","96.7","83.6",""
"045377","Georgetown Exempted Village","Brown","Region 14","1043 Mount Orab Pike","Georgetown, OH, 45121-8440","(937) 378-3565","Christopher J. Burrows","94.9","A","75","79","92.3","83.6",""
"045385","Gibsonburg Exempted Village","Sandusky","Region 1","301 S Sunset Ave","Gibsonburg, OH, 43431-1264","(419) 637-2479","Timothy W. Murray","97.6","A","81","83","94.6","83.6",""
"045393","Granville Exempted Village","Licking","Region 11","PO Box 417","Granville, OH, 43023-0417","(740) 587-8101","Jeffrey R. Brown","96.6","A","199","206","96.8","83.6",""
"045401","Greenfield Exempted Village","Highland","Region 14","200 N 5th St","Greenfield, OH, 45123-1373","(937) 981-2152","James J. Wills","77.7","F","115","148","92.3","83.6",""
"045419","Hicksville Exempted Village","Defiance","Region 1","958 E High St","Hicksville, OH, 43526-1258","(419) 542-7665","Keith L. Countryman","91.2","B","52","57","94.1","83.6",""
"045427","Hubbard Exempted Village","Trumbull","Region 5","108 Orchard Ave","Hubbard, OH, 44425-1724","(330) 534-1921","Raymond W. Soloman","96.1","A","173","180","93.4","83.6",""
"045435","Indian Hill Exempted Village","Hamilton","Region 13","6855 Drake Rd","Cincinnati, OH, 45243-2737","(513) 272-4500","Mark T. Miles","96.8","A","150","155","97.2","83.6",""
"045443","Leetonia Exempted Village","Columbiana","Region 5","450 Walnut St","Leetonia, OH, 44431-1075","(330) 427-6594","Robert A. Mehno","93.3","A","56","60","93.0","83.6",""
"045450","Lisbon Exempted Village","Columbiana","Region 5","317 N Market St","Lisbon, OH, 44432-1145","(330) 424-7714","Joseph E. Siefke","90.8","B","79","87","93.2","83.6",""
"045468","Loudonville-Perrysville Exempted Village","Ashland","Region 7","210 E Main St","Loudonville, OH, 44842-1245","(419) 994-3912","Catherine M. Puster","93.0","A","80","86","94.3","83.6",""
"045476","Marysville Exempted Village","Union","Region 11","1000 Edgewood Dr","Marysville, OH, 43040-2105","(937) 644-8105","Diane M. Mankins","91.9","B","384","418","94.0","83.6",""
"045484","Mechanicsburg Exempted Village","Champaign","Region 6","60 High St","Mechanicsburg, OH, 43044-1071","(937) 834-2453","Danielle M. Prohaska","98.5","A","64","65","94.5","83.6",""
"045492","Mentor Exempted Village","Lake","Region 4","6451 Center St","Mentor, OH, 44060-4109","(440) 255-4444","William M. Porter","93.6","A","625","668","93.9","83.6",""
"045500","Milford Exempted Village","Clermont","Region 13","777 Garfield Ave","Milford, OH, 45150-1607","(513) 831-1314","Nancy C. House","96.5","A","473","490","94.3","83.6",""
"045518","Milton-Union Exempted Village","Miami","Region 10","7610 Milton Potsdam Rd","West Milton, OH, 45383-9602","(937) 884-7910","Brad M. Ritchey","97.2","A","105","108","94.0","83.6",""
"045526","Montpelier Exempted Village","Williams","Region 1","PO Box 193","Montpelier, OH, 43543-0193","(419) 485-3676","Jamison J. Grime","88.1","C","74","84","93.5","83.6",""
"045534","Mount Gilead Exempted Village","Morrow","Region 7","145 N Cherry St","Mount Gilead, OH, 43338-1266","(419) 946-1646","Jeffrey D. Thompson","97.5","A","78","80","94.1","83.6",""
"045542","Newcomerstown Exempted Village","Tuscarawas","Region 12","702 S River St","Newcomerstown, OH, 43832-1450","(740) 498-8373","Jeffery S. Staggs","90.8","B","69","76","90.6","83.6",""
"045559","New Richmond Exempted Village","Clermont","Region 13","212 Market St Fl 3RD","New Richmond, OH, 45157-1373","(513) 553-2616","Adam C. Bird","96.1","A","173","180","92.7","83.6",""
"045567","Newton Falls Exempted Village","Trumbull","Region 5","909 1/2 Milton Blvd","Newton Falls, OH, 44444-9707","(330) 872-5445","Paul J. Woodard","93.3","A","83","89","92.5","83.6",""
"045575","Paulding Exempted Village","Paulding","Region 1","405 N Water St","Paulding, OH, 45879-1251","(419) 399-4656","Kenneth D. Amstutz","91.3","B","84","92","92.9","83.6",""
"045583","Perrysburg Exempted Village","Wood","Region 1","140 E Indiana Ave","Perrysburg, OH, 43551-2261","(419) 874-9131","Thomas L. Hosler","96.2","A","356","370","96.6","83.6",""
"045591","Rittman Exempted Village","Wayne","Region 9","100 Saurer St","Rittman, OH, 44270-1259","(330) 927-7400","James J. Ritchie","95.1","A","58","61","93.3","83.6",""
"045609","Rossford Exempted Village","Wood","Region 1","401 Glenwood Rd","Rossford, OH, 43460-1317","(419) 666-2010","Daniel Creps","89.7","B","105","117","93.3","83.6","Gifted data may be incomplete due to local reporting error. Contact district for more information."
"045617","Tipp City Exempted Village","Miami","Region 10","90 S Tippecanoe Dr","Tipp City, OH, 45371-1139","(937) 667-8444","Gretta H. Kumpf","97.1","A","200","206","95.6","83.6",""
"045625","Upper Sandusky Exempted Village","Wyandot","Region 7","800 N Sandusky Ave","Upper Sandusky, OH, 43351-1032","(419) 294-2307","Laurie C. Vent","94.4","A","136","144","93.8","83.6",""
"045633","Versailles Exempted Village","Darke","Region 10","PO Box 313","Versailles, OH, 45380-0313","(937) 526-4773","Aaron M. Moran","100.0","A","107","107","96.8","83.6",""
"045641","Wauseon Exempted Village","Fulton","Region 1","930 E Oak St","Wauseon, OH, 43567-1350","(419) 335-6616","Larry C. Brown","95.6","A","152","159","92.2","83.6",""
"045658","Wellington Exempted Village","Lorain","Region 2","305 Union St","Wellington, OH, 44090-1072","(440) 647-4286","Edward J. Weber","88.4","C","99","112","95.2","83.6",""
"045666","Windham Exempted Village","Portage","Region 8","9530 Bauer Ave","Windham, OH, 44288-1004","(330) 326-2711","Gregory C. Isler","86.3","C","44","51","90.9","83.6",""
"045674","Yellow Springs Exempted Village","Greene","Region 10","201 S Walnut St","Yellow Springs, OH, 45387-1805","(937) 767-7381","Mario Basora","100.0","A","44","44","95.9","83.6",""
"045757","Allen East Local","Allen","Region 6","9105 Harding Hwy","Harrod, OH, 45850","(419) 648-3333","Mel L. Rentschler","93.8","A","90","96","94.9","83.6",""
"045765","Bath Local","Allen","Region 6","2650 Bible Rd","Lima, OH, 45801-2246","(419) 221-0807","Richard D. Dackin","91.1","B","123","135","90.8","83.6",""
"045773","Elida Local","Allen","Region 6","4380 Sunnydale St","Elida, OH, 45807-9593","(419) 331-4155","Joel W. Mengerink","89.2","B","166","186","90.4","83.6",""
"045781","Perry Local","Allen","Region 6","2770 E Breese Rd","Lima, OH, 45806-9743","(419) 221-2770","Alison R. Van Gorder","85.5","C","47","55","88.3","83.6",""
"045799","Shawnee Local","Allen","Region 6","3255 Zurmehly Rd","Lima, OH, 45806-1434","(419) 998-8031","James D. Kanable","93.5","A","158","169","92.8","83.6",""
"045807","Spencerville Local","Allen","Region 6","2500 Wisher Dr","Spencerville, OH, 45887-1293","(419) 647-4111","Dennis A. Fuge","91.5","B","54","59","94.3","83.6",""
"045823","Hillsdale Local","Ashland","Region 7","485 Township Road 1902","Jeromesville, OH, 44840-9754","(419) 368-8231","Steven E. Dickerson","95.7","A","67","70","95.5","83.6",""
"045831","Mapleton Local","Ashland","Region 7","635 County Road 801","Ashland, OH, 44805-9571","(419) 945-2188","Rodney G. Hopton","90.8","B","69","76","93.4","83.6",""
"045856","Buckeye Local","Ashtabula","Region 5","3436 Edgewood Dr","Ashtabula, OH, 44004-5967","(440) 998-4411","Patrick E. Colucci","88.5","C","146","165","91.8","83.6",""
"045864","Grand Valley Local","Ashtabula","Region 5","111 Grand Valley Ave West","Orwell, OH, 44076-9420","(440) 437-6260","William R. Nye","90.3","B","84","93","93.7","83.6",""
"045872","Jefferson Area Local","Ashtabula","Region 5","121 S Poplar St","Jefferson, OH, 44047-1328","(440) 576-9180","John C. Montanaro","91.7","B","122","133","93.7","83.6",""
"045880","Pymatuning Valley Local","Ashtabula","Region 5","PO Box 1180","Andover, OH, 44003-1180","(440) 293-6488","Michael A. Candela","90.8","B","89","98","91.4","83.6",""
"045906","Alexander Local","Athens","Region 16","6091 Ayers Rd","Albany, OH, 45710-9492","(740) 698-8831","Lindy L. Douglas","96.5","A","110","114","93.1","83.6",""
"045914","Federal Hocking Local","Athens","Region 16","PO Box 117","Stewart, OH, 45778-0117","(740) 662-6691","George H. Wood","91.4","B","64","70","87.8","83.6",""
"045922","Trimble Local","Athens","Region 16","1 Tomcat Dr","Glouster, OH, 45732-9335","(740) 767-4444","Scott L. Christman","91.4","B","53","58","88.3","83.6",""
"045948","Minster Local","Auglaize","Region 6","50 E 7th St","Minster, OH, 45865-1095","(419) 628-3397","Brenda A. Boeke","97.0","A","65","67","96.4","83.6",""
"045955","New Bremen Local","Auglaize","Region 6","901 E Monroe St","New Bremen, OH, 45869-9685","(419) 629-8606","Jason A. Schrader","96.9","A","63","65","96.4","83.6",""
"045963","New Knoxville Local","Auglaize","Region 6","345 S Main St","New Knoxville, OH, 45871-0476","(419) 753-2431","Kimberly S. Waterman","100.0","A","32","32","95.7","83.6",""
"045971","Waynesfield-Goshen Local","Auglaize","Region 6","500 N Westminster St","Waynesfield, OH, 45896-9448","(419) 568-9100","J. Chris Pfister","96.2","A","51","53","96.2","83.6",""
"045997","St Clairsville-Richland City","Belmont","Region 12","108 Woodrow Ave","Saint Clairsville, OH, 43950-1567","(740) 695-1624","Walter E. Skaggs","97.2","A","138","142","93.9","83.6",""
"046003","Shadyside Local","Belmont","Region 12","3890 Lincoln Ave","Shadyside, OH, 43947-1319","(740) 676-3235","John M. Haswell","92.4","B","61","66","95.5","83.6",""
"046011","Union Local","Belmont","Region 12","66779 Belmont Morristown Rd","Belmont, OH, 43718-9568","(740) 782-1978","Robert B. Porter","87.0","C","114","131","93.5","83.6",""
"046037","Eastern Local","Brown","Region 14","11479 US Highway 62","Winchester, OH, 45697-9690","(937) 695-1399","Michele R. Filon","91.2","B","83","91","94.1","83.6",""
"046045","Fayetteville-Perry Local","Brown","Region 14","551 S Apple St","Fayetteville, OH, 45118-8461","(513) 875-2423","James J. Brady","95.1","A","58","61","93.8","83.6",""
"046060","Western Brown Local","Brown","Region 14","524 W Main St","Mount Orab, OH, 45154-8262","(937) 444-2044","Raegan L. White","89.7","B","217","242","93.0","83.6",""
"046078","Ripley-Union-Lewis-Huntington Local","Brown","Region 14","PO Box 85","Ripley, OH, 45167-0085","(937) 392-4396","James L. Wilkins II","89.7","B","78","87","91.9","83.6",""
"046094","Edgewood City","Butler","Region 13","3440 Busenbark Rd","Trenton, OH, 45067-7612","(513) 863-4692","Simon R. Fussnecker Jr","90.7","B","245","270","92.6","83.6",""
"046102","Fairfield City","Butler","Region 13","4641 Bach Ln","Fairfield, OH, 45014-1900","(513) 829-6300","Billy J. Smith","92.8","B","725","781","90.6","83.6",""
"046110","Lakota Local","Butler","Region 13","5572 Princeton Rd","Liberty Township, OH, 45011-9726","(513) 874-5505","Matthew J. Miller","94.0","A","1195","1271","95.3","83.6",""
"046128","Madison Local","Butler","Region 13","1324 Middletown Eaton Rd","Middletown, OH, 45042-1525","(513) 420-4750","Charles C. Philpot","94.2","A","113","120","93.8","83.6",""
"046136","New Miami Local","Butler","Region 13","600 Seven Mile Ave","Hamilton, OH, 45011-5748","(513) 863-0833","Rhonda J. Parker","75.4","F","46","61","90.0","83.6",""
"046144","Ross Local","Butler","Region 13","3371 Hamilton Cleves Rd","Hamilton, OH, 45013-9535","(513) 863-1253","Scott M. Gates","98.1","A","211","215","94.6","83.6",""
"046151","Talawanda City","Butler","Region 13","131 W Chestnut St","Oxford, OH, 45056-2619","(513) 273-3333","Kelly L. Spivey","91.2","B","228","250","93.0","83.6",""
"046177","Brown Local","Carroll","Region 12","3242 Coral Rd NW","Malvern, OH, 44644-9467","(330) 863-1170","Scott M. Bowling","95.8","A","46","48","92.3","83.6",""
"046193","Graham Local","Champaign","Region 6","7790 US Highway 36","Saint Paris, OH, 43072-9496","(937) 663-4123","Kirk Koennecke","92.8","B","141","152","93.9","83.6",""
"046201","Triad Local","Champaign","Region 6","7920 Brush Lake Rd","North Lewisburg, OH, 43060-9617","(937) 826-4961","Christopher M. Piper","91.9","B","57","62","95.5","83.6",""
"046219","West Liberty-Salem Local","Champaign","Region 6","7208 US Highway 68 N","West Liberty, OH, 43357-9663","(937) 465-1075","Kraig E. Hissong","100.0","A","82","82","95.4","83.6",""
"046235","Greenon Local","Clark","Region 10","500 Enon Xenia Pike","Enon, OH, 45323-1759","(937) 864-1202","Bradley K. Silvus","93.4","A","113","121","94.9","83.6",""
"046243","Tecumseh Local","Clark","Region 10","9760 W National Rd","New Carlisle, OH, 45344-9290","(937) 845-3576","Norm W. Glismann","88.6","C","225","254","90.3","83.6",""
"046250","Northeastern Local","Clark","Region 10","1414 Bowman Rd","Springfield, OH, 45502-8826","(937) 325-7615","John P. Kronour","95.5","A","275","288","93.1","83.6",""
"046268","Northwestern Local","Clark","Region 10","5610 Troy Rd","Springfield, OH, 45502-9032","(937) 964-1318","Jesse D. Steiner","95.3","A","141","148","94.8","83.6",""
"046276","Southeastern Local","Clark","Region 10","226 Clifton Rd","South Charleston, OH, 45368-9602","(888) 627-6745","David M. Shea","92.6","B","50","54","94.9","83.6",""
"046284","Clark-Shawnee Local","Clark","Region 10","3680 Selma Rd","Springfield, OH, 45502-6310","(937) 328-5378","Gregg E. Morris","97.4","A","187","192","92.1","83.6",""
"046300","Batavia Local","Clermont","Region 13","800 Bauer Ave","Batavia, OH, 45103-1990","(513) 732-2343","Keith D. Millard","94.9","A","129","136","93.4","83.6",""
"046318","Bethel-Tate Local","Clermont","Region 13","675 West Plane Street","Bethel, OH, 45106","(513) 734-2271","Melissa A. Kircher","94.1","A","95","101","94.2","83.6",""
"046326","Clermont Northeastern Local","Clermont","Region 13","2792 Us Highway 50","Batavia, OH, 45103-8532","(513) 625-5478","Joseph M. Brandt","89.4","B","118","132","93.8","83.6",""
"046334","Felicity-Franklin Local","Clermont","Region 13","PO Box 619","Felicity, OH, 45120-0619","(513) 362-5348","David R. Gibson","88.9","C","72","81","91.6","83.6",""
"046342","Goshen Local","Clermont","Region 13","6694 Goshen Rd","Goshen, OH, 45122-9273","(513) 722-2222","Darrell Edwards","97.6","A","166","170","91.5","83.6",""
"046359","West Clermont Local","Clermont","Region 13","4350 Aicholtz Rd","Cincinnati, OH, 45245-1505","(513) 943-5000","Keith Kline","92.7","B","569","614","92.9","83.6",""
"046367","Williamsburg Local","Clermont","Region 13","549A W Main St","Williamsburg, OH, 45176-1110","(513) 724-3077","Matthew D. Earley","93.2","A","82","88","93.2","83.6",""
"046383","Blanchester Local","Clinton","Region 14","951 Cherry St.","Blanchester, OH, 45107-7846","(937) 783-3523","Dean D. Lynch","94.4","A","134","142","92.0","83.6",""
"046391","Clinton-Massie Local","Clinton","Region 14","2556 Lebanon Rd","Clarksville, OH, 45113-8201","(937) 289-2471","Matthew P. Baker","92.2","B","119","129","95.4","83.6",""
"046409","East Clinton Local","Clinton","Region 14","97 Astro Way","Sabina, OH, 45169-9521","(937) 584-2461","Eric B. Magee","92.9","B","104","112","91.3","83.6",""
"046425","Beaver Local","Columbiana","Region 5","46088 Bell School Rd","East Liverpool, OH, 43920-8774","(330) 385-6831","Eric N. Lowe","87.3","C","131","150","93.2","83.6",""
"046433","Crestview Local","Columbiana","Region 5","44100 Crestview Rd Ste A","Columbiana, OH, 44408-9660","(330) 482-5526","Matthew T. Manley","98.9","A","94","95","94.5","83.6",""
"046441","Southern Local","Columbiana","Region 5","38095 State Route 39","Salineville, OH, 43945-9726","(330) 679-2343","John S. Wilson","92.2","B","59","64","91.8","83.6",""
"046458","United Local","Columbiana","Region 5","8143 State Route 9","Hanoverton, OH, 44423-8618","(330) 223-1521","Lance B. Hostetler","95.4","A","104","109","94.2","83.6",""
"046474","Ridgewood Local","Coshocton","Region 12","301 S Oak St","West Lafayette, OH, 43845-1339","(740) 545-5312","Michael A. Masloski","90.8","B","109","120","92.5","83.6",""
"046482","River View Local","Coshocton","Region 12","26496 State Route 60","Warsaw, OH, 43844-9714","(740) 824-3521","Harry D. Summers","95.0","A","152","160","90.5","83.6",""
"046508","Buckeye Central Local","Crawford","Region 7","938 S Kibler St","New Washington, OH, 44854-9521","(419) 492-2864","Mark A. Robinson","96.6","A","57","59","94.4","83.6",""
"046516","Colonel Crawford Local","Crawford","Region 7","2303 State Route 602","North Robinson, OH, 44827-9711","(419) 562-6755","William T. Martin","98.7","A","75","76","94.5","83.6",""
"046524","Wynford Local","Crawford","Region 7","3288 Holmes Center Rd","Bucyrus, OH, 44820-9463","(419) 562-7828","Frederick M. Fox","100.0","A","69","69","94.2","83.6",""
"046557","Cuyahoga Heights Local","Cuyahoga","Region 3","4820 E 71st St","Cuyahoga Heights, OH, 44125-1043","(216) 429-5700","Thomas Evans","97.1","A","68","70","93.8","83.6",""
"046565","Independence Local","Cuyahoga","Region 3","7733 Stone Rd","Independence, OH, 44131-4813","(216) 642-5850","Benjamin J. Hegedish","97.5","A","77","79","95.2","83.6",""
"046573","Olmsted Falls City","Cuyahoga","Region 3","PO Box 38010","Olmsted Falls, OH, 44138-0010","(440) 427-6000","James L. Lloyd","95.7","A","287","300","94.6","83.6",""
"046581","Orange City","Cuyahoga","Region 3","32000 Chagrin Blvd","Cleveland, OH, 44124-5922","(216) 831-8600","Edwin S. Holland","96.9","A","157","162","96.9","83.6",""
"046599","Richmond Heights Local","Cuyahoga","Region 3","447 Richmond Rd","Richmond Heights, OH, 44143-1429","(216) 692-8485","Renee T. Willis","70.7","F","58","82","85.5","83.6",""
"046607","Solon City","Cuyahoga","Region 3","33800 Inwood Dr","Solon, OH, 44139-4133","(440) 248-1600","Joseph V. Regano","96.8","A","448","463","96.7","83.6",""
"046623","Ansonia Local","Darke","Region 10","PO Box 279","Ansonia, OH, 45303-0279","(937) 337-4000","James R. Atchley","98.4","A","60","61","94.8","83.6",""
"046631","Arcanum-Butler Local","Darke","Region 10","2011 Trojan Ave","Arcanum, OH, 45304-1381","(937) 692-5174","Johnathan N. Stephens","98.0","A","98","100","94.5","83.6",""
"046649","Franklin Monroe Local","Darke","Region 10","PO Box 78","Pitsburg, OH, 45358-0078","(937) 947-1212","Jeffrey M. Patrick","98.6","A","70","71","95.0","83.6",""
"046672","Mississinawa Valley Local","Darke","Region 10","1469 State Road 47 E","Union City, OH, 45390-8628","(937) 968-5656","Douglas E. Dunham","93.8","A","45","48","92.7","83.6",""
"046680","Tri-Village Local","Darke","Region 10","315 S Main St","New Madison, OH, 45346-9797","(937) 996-6261","Joshua M. Sagester","95.0","A","57","60","94.1","83.6",""
"046706","Ayersville Local","Defiance","Region 1","28046 Watson Rd","Defiance, OH, 43512-8851","(419) 395-1111","Donald F. Diglia","95.9","A","71","74","94.4","83.6",""
"046714","Central Local","Defiance","Region 1","6289 Us Highway 127","Sherwood, OH, 43556-9735","(419) 658-2808","Vicki L. Brunn","94.7","A","89","94","94.8","83.6",""
"046722","Northeastern Local","Defiance","Region 1","5921 Domersville Rd","Defiance, OH, 43512-9121","(419) 497-3461","James C. Roach","98.8","A","82","83","94.8","83.6",""
"046748","Big Walnut Local","Delaware","Region 11","110 Tippett Ct","Sunbury, OH, 43074-9334","(740) 965-3010","Angela S. Pollock","95.0","A","211","222","95.8","83.6",""
"046755","Buckeye Valley Local","Delaware","Region 11","679 Coover Rd","Delaware, OH, 43015-9562","(740) 369-8735","Andrew J. Miller","97.7","A","169","173","95.9","83.6",""
"046763","Olentangy Local","Delaware","Region 11","7840 Graphics Way","Lewis Center, OH, 43035-9078","(740) 657-4050","Mark T. Raiff","98.3","A","1243","1265","96.0","83.6",""
"046789","Edison Local (formerly Berlin-Milan)","Erie","Region 2","140 Main St S","Milan, OH, 44846-9735","(419) 499-3000","Thomas C. Roth","94.9","A","112","118","94.5","83.6",""
"046805","Margaretta Local","Erie","Region 2","305 S Washington St","Castalia, OH, 44824-9263","(419) 684-5322","Dennis R. Mock","94.0","A","78","83","92.8","83.6",""
"046813","Perkins Local","Erie","Region 2","3714 Campbell St Ste B","Sandusky, OH, 44870-7232","(419) 625-0484","Jodie Hausmann","95.2","A","178","187","93.8","83.6",""
"046821","Vermilion Local","Erie","Region 2","1250 Sanford St","Vermilion, OH, 44089-1577","(440) 204-1700","Philip M. Pempin","93.0","A","173","186","91.9","83.6",""
"046847","Amanda-Clearcreek Local","Fairfield","Region 11","328 E Main St","Amanda, OH, 43102-9330","(740) 969-7250","James B. Dick","92.5","B","124","134","94.1","83.6",""
"046854","Berne Union Local","Fairfield","Region 11","506 N Main St","Sugar Grove, OH, 43155-0187","(740) 746-8341","Richard R. Spindler","97.3","A","71","73","92.7","83.6",""
"046862","Bloom-Carroll Local","Fairfield","Region 11","5240 Plum Rd","Carroll, OH, 43112-9716","(614) 837-6560","Shawn P. Haughn","96.0","A","144","150","96.1","83.6",""
"046870","Fairfield Union Local","Fairfield","Region 11","6417 Cincinnati Zanesville Rd NE","Lancaster, OH, 43130-9323","(740) 536-7384","Jon C. Belville","92.6","B","163","176","94.5","83.6",""
"046888","Liberty Union-Thurston Local","Fairfield","Region 11","1108 S Main St","Baltimore, OH, 43105-9700","(740) 862-4171","Todd S. Osborn","95.1","A","98","103","94.6","83.6",""
"046896","Pickerington Local","Fairfield","Region 11","90 East St.","Pickerington, OH, 43147-1061","(614) 833-2110","Chris M. Briggs","98.1","A","816","832","94.3","83.6",""
"046904","Walnut Township Local","Fairfield","Region 11","11850 Lancaster St","Millersport, OH, 43046","(740) 467-2802","Randall J. Cotner","92.7","B","38","41","93.3","83.6",""
