District IRN,District Name,County,Region,Address,"City, State, Zip",Phone,Superintendent,Enrollment 2016-2017,Letter Grade of Achievement Component,Letter Grade of Percent Standards,Gifted Indicator Met/Not Met Status,Percent of Standards Met,Letter Grade of Performance Index,Performance Index Percent,Letter Grade of AMO,AMO Points,Letter Grade of K3 Literacy,K3 Literacy Percent,Letter Grade of Progress Component,Letter Grade of Overall Value Added,Overall Value Added Gain Index,Letter Grade of Gifted Value Added,Gifted Value Added Gain Index,Letter Grade of Students with Disabilities Value Added,Students with Disabilities Value Added Gain Index,Letter Grade of Lowest 20% Value Added,Lowest 20% Value Added Gain Index,Letter Grade of High Mobility Value Added,High Mobility Value Added Gain Index,Letter Grade of Grad Rate Component,Letter Grade of 4Year Grad Rate 2016,4 Year Grad Rate 2016,Letter Grade of 5 Year Grad Rate 2015,5 Year Grad Rate 2015,Letter Grade of Prepared for Success Component,Percent of Prepared for Success Component,Attendance Rate 2016-2017,Attendance Rate 2015-2016,Attendance Rate 2014-2015,Chronic Absenteeism Percent 2016-2017,Watermark
044222,Lima City,Allen,Region 6,755 Saint Johns Ave,"Lima, OH, 45804-1552",(419) 996-3400,Jill A. Ackerman,3717,D,F,Not Met,0.0,D,56.8,F,19.7,C,32.9,D,F,-6.2,B,1.7,F,-4.8,F,-4.9,NR,NC,F,F,69.2,F,72.2,F,11.5,93.3,93.7,93.7,22.5,
044230,Lockland Local,Hamilton,Region 13,210 N Cooper Ave,"Cincinnati, OH, 45215-3011",(513) 563-5000,Frederick T. Jebens,493,F,F,NC,0.0,F,48.8,F,0.3,D,8.2,A,A,2.3,NR,NC,A,2.3,A,2.4,NR,NC,F,F,74.5,F,78.0,F,16.8,93.8,93.5,93.3,18.1,
044248,Logan-Hocking Local,Hocking,Region 16,2019 E Front St,"Logan, OH, 43138",(740) 385-8517,Monte D. Bainter II,3786,D,F,Not Met,25.0,C,74.4,D,64.8,C,39.2,D,F,-12.6,D,-1.9,F,-2.9,F,-4.9,NR,NC,A,A,95.9,B,94.8,D,30.0,93.7,94.7,96.0,17.0,
044255,London City,Madison,Region 11,380 Elm St 2nd Fl,"London, OH, 43140-9220",(740) 852-5700,Louis A. Kramer,2023,D,F,Not Met,16.7,C,70.8,F,45.6,C,25.0,F,F,-12.4,F,-3.1,F,-5.4,F,-4.4,NR,NC,A,B,92.9,A,98.1,D,40.0,93.7,94.2,94.3,17.7,
044263,Lorain City,Lorain,Region 2,2601 Pole Ave,"Lorain, OH, 44052-4301",(440) 830-7271,Jeffrey M. Graham,6544,F,F,Not Met,0.0,D,51.3,F,6.4,C,25.6,F,F,-28.0,F,-5.9,F,-14.5,F,-17.8,NR,NC,F,F,71.4,F,79.1,F,4.1,90.7,92.4,92.8,30.1,
044271,Loveland City,Hamilton,Region 13,757 S Lebanon Rd,"Loveland, OH, 45140-9308",(513) 683-5600,Amy C. Crouse,4506,C,D,Not Met,56.0,C,79.3,C,74.7,B,50.8,D,F,-3.4,B,1.5,F,-2.6,F,-3.2,NR,NC,A,A,96.3,A,97.3,C,68.4,95.3,95.8,95.7,8.9,
044289,Madeira City,Hamilton,Region 13,7465 Loannes Dr,"Cincinnati, OH, 45243-1851",(513) 985-6070,Kenji Matsudo,1418,A,A,Not Met,95.8,A,90.8,B,83.3,NR,NC,A,A,5.8,A,6.0,B,1.1,NR,NC,NR,NC,A,A,97.3,A,100.0,A,96.7,96.8,96.6,96.3,2.2,
044297,Mansfield City,Richland,Region 7,PO Box 1448,"Mansfield, OH, 44901-1448",(419) 525-6400,Brian K. Garverick,3308,D,F,Not Met,0.0,D,60.2,F,14.6,D,16.3,F,F,-8.2,F,-2.6,F,-5.2,F,-3.3,NR,NC,F,F,65.5,F,75.7,F,10.6,93.9,94.9,94.5,15.7,
044305,Maple Heights City,Cuyahoga,Region 3,5740 Lawn Ave,"Maple Heights, OH, 44137-3870",(216) 587-6100,Charles T. Keenan,3473,F,F,Not Met,0.0,F,49.5,F,0.0,D,10.3,D,F,-4.6,F,-2.3,C,0.1,B,1.2,NR,NC,D,F,78.6,D,83.5,F,5.6,91.3,92.1,92.0,31.3,
044313,Mariemont City,Hamilton,Region 13,2 Warrior Way,"Cincinnati, OH, 45227-3600",(513) 272-7500,Steven E. Estepp,1661,A,A,Met,95.8,B,89.0,B,89.9,C,47.1,A,A,14.3,A,7.8,A,6.7,A,2.8,NR,NC,A,A,97.6,A,98.1,A,93.2,95.0,95.2,95.3,8.9,
044321,Marietta City,Washington,Region 16,111 Academy Dr,"Marietta, OH, 45750-8053",(740) 374-6500,William T. Hampton,2589,D,F,Not Met,0.0,D,68.4,F,5.6,C,27.9,D,F,-13.3,F,-3.6,D,-1.1,F,-2.1,NR,NC,C,D,81.7,C,89.9,D,43.7,95.1,94.8,95.2,9.9,
044339,Marion City,Marion,Region 7,420 Presidential Dr,"Marion, OH, 43302-5173",(740) 387-3300,Stephen P. Fujii,4207,D,F,Not Met,0.0,D,56.0,F,37.3,C,24.3,F,F,-10.1,F,-2.3,F,-2.1,F,-2.9,NR,NC,B,C,88.8,B,91.6,D,25.9,92.9,93.6,93.4,22.9,
044347,Martins Ferry City,Belmont,Region 12,5001 Ayers Limestone Rd,"Martins Ferry, OH, 43935-1588",(740) 633-1732,James Fogle,1455,D,F,Not Met,0.0,D,66.2,F,29.3,C,25.5,D,F,-14.9,C,0.1,F,-9.8,F,-2.2,NR,NC,B,B,91.6,C,89.7,F,22.6,94.1,95.2,95.5,14.9,
044354,Massillon City,Stark,Region 9,930 17th St NE,"Massillon, OH, 44646-4853",(330) 830-3900,Richard D. Goodright,4032,D,F,Not Met,0.0,D,67.7,F,46.5,C,34.3,D,F,-4.6,C,-0.3,D,-1.7,D,-1.7,NR,NC,C,C,86.6,B,91.7,D,32.2,92.2,93.7,94.1,22.8,
044362,Maumee City,Lucas,Region 1,716 Askin St,"Maumee, OH, 43537-3602",(419) 893-3200,Todd M. Cramer,2238,C,F,Not Met,33.3,C,78.5,C,75.9,C,27.8,B,A,3.9,A,4.4,C,-0.1,B,1.3,NR,NC,A,A,97.5,B,94.1,C,45.4,96.3,95.8,95.7,4.8,
044370,Mayfield City,Cuyahoga,Region 3,1101 S.O.M. Center Road,"Mayfield Heights, OH, 44124-2006",(440) 995-7201,KEITH W. KELLY,3814,C,D,Met,50.0,C,79.8,C,71.7,B,57.4,A,A,16.5,A,10.8,A,3.4,A,2.1,NR,NC,A,A,93.3,A,95.8,C,53.0,94.7,95.0,95.7,12.2,
044388,Medina City SD,Medina,Region 8,739 Weymouth Rd,"Medina, OH, 44256-2037",(330) 636-3031,Aaron J. Sable,6622,C,F,Not Met,41.7,C,78.9,D,65.0,C,36.0,A,A,9.5,A,3.7,A,4.9,A,5.7,NR,NC,A,A,96.8,A,98.0,C,61.6,95.3,95.7,95.5,8.7,
044396,Miamisburg City,Montgomery,Region 10,540 E. Park Ave,"Miamisburg, OH, 45342-2854",(937) 866-3381,David S. Vail,5250,C,F,Not Met,16.7,C,76.4,F,58.5,C,27.2,A,A,16.9,A,7.4,A,6.3,A,7.2,NR,NC,A,A,93.7,A,96.9,D,43.3,95.5,95.9,95.9,9.1,
044404,Middletown City,Butler,Region 13,1 Donham Plz 4th Fl,"Middletown, OH, 45042-1932",(513) 423-0781,Marlon J. Styles,5912,D,F,Not Met,0.0,D,59.5,F,36.0,C,25.5,F,F,-13.5,F,-2.6,F,-4.3,F,-4.4,NR,NC,B,B,90.0,B,92.6,F,20.7,93.8,93.8,93.9,17.9,
044412,Mt Healthy City,Hamilton,Region 13,7615 Harrison Ave,"Cincinnati, OH, 45231-3107",(513) 729-0077,Reva C. Cosby,3216,F,F,Not Met,0.0,D,51.0,F,7.6,D,17.9,D,F,-11.1,C,0.5,F,-2.2,F,-4.9,NR,NC,D,D,79.3,C,85.6,F,10.8,92.9,95.0,93.7,19.9,
044420,Mount Vernon City,Knox,Region 7,300 Newark Rd,"Mount Vernon, OH, 43050-4510",(740) 397-7422,William D. Seder,3697,C,F,Not Met,20.0,C,76.3,C,78.3,B,56.4,F,F,-10.7,F,-5.9,F,-5.9,F,-5.7,NR,NC,B,A,93.1,C,89.9,D,41.1,94.9,95.1,94.5,10.9,
044438,Napoleon Area City,Henry,Region 1,701 Briarheath Ave Ste 108,"Napoleon, OH, 43545-1251",(419) 599-7015,Stephen R. Fogo,1962,C,F,Not Met,37.5,C,78.6,D,68.9,C,29.6,B,A,9.3,A,3.4,A,2.3,C,0.3,NR,NC,A,B,92.9,A,96.8,D,41.7,96.0,96.1,96.2,4.3,
044446,Nelsonville-York City,Athens,Region 16,2 Buckeye Dr,"Nelsonville, OH, 45764-9591",(740) 753-4441,Charles D. McClelland,1235,D,F,Not Met,4.2,D,60.9,F,26.9,C,37.6,F,F,-16.1,NR,NC,F,-3.6,F,-5.1,NR,NC,B,B,90.3,B,90.5,F,16.3,93.9,93.8,94.1,13.1,
044453,Newark City,Licking,Region 11,621 Mount Vernon Rd,"Newark, OH, 43055-4615",(740) 670-7005,Douglas C. Ute,6252,D,F,Not Met,0.0,C,71.2,F,41.5,B,51.9,F,F,-14.2,F,-3.2,F,-13.8,F,-7.6,NR,NC,C,C,84.5,C,86.0,D,29.8,94.0,94.5,94.2,16.5,
044461,New Boston Local,Scioto,Region 15,#1 Glenwood Tiger Trail,"New Boston, OH, 45662",(740) 456-4626,Melinda M. Burnside,413,D,F,Not Met,4.2,D,66.2,B,89.9,B,62.9,D,F,-3.1,B,1.1,NR,NC,C,0.9,B,1.9,B,B,89.3,B,93.8,D,26.0,94.4,94.0,94.2,12.1,
044479,New Lexington School District,Perry,Region 16,2549 Panther Drive,"New Lexington, OH, 43764-0630",(740) 342-4133,Casey H. Coffey,1763,D,F,Not Met,4.2,D,69.2,F,44.0,B,50.8,B,A,3.7,B,1.6,A,4.4,C,0.6,NR,NC,D,F,78.5,D,83.9,F,10.1,93.8,94.2,94.3,17.1,
044487,New Philadelphia City,Tuscarawas,Region 12,248 Front Ave SW,"New Philadelphia, OH, 44663-2150",(330) 364-0600,David J. Brand,3601,D,F,Not Met,0.0,C,71.7,F,29.6,C,24.5,A,A,13.4,A,4.9,A,3.3,A,5.3,NR,NC,C,C,88.9,C,89.7,C,46.5,93.6,95.4,95.2,21.3,
044495,Niles City,Trumbull,Region 5,309 N Rhodes Ave,"Niles, OH, 44446-3821",(330) 989-5095,Ann Marie A. Thigpen,2309,D,F,Not Met,4.2,D,69.3,F,9.7,C,28.0,F,F,-14.0,F,-3.5,F,-5.7,F,-4.8,NR,NC,D,D,79.3,D,84.2,D,27.9,92.8,93.2,93.1,22.0,
044503,North Canton City,Stark,Region 9,525 7th St NE,"North Canton, OH, 44720-2012",(330) 497-5600,Jeff S. Wendorf,4312,B,B,Met,83.3,B,84.0,B,80.9,B,49.7,A,A,15.4,A,7.4,A,2.5,A,2.1,NR,NC,A,A,95.1,A,97.2,B,74.2,96.6,96.1,96.2,5.7,
044511,North College Hill City,Hamilton,Region 13,1731 Goodman Ave,"Cincinnati, OH, 45239-4844",(513) 931-8181,Eugene E. Blalock,1582,F,F,Not Met,0.0,D,50.8,F,34.6,F,-31.2,D,F,-4.6,C,-1.0,D,-1.8,C,-0.1,NR,NC,D,D,83.2,D,80.4,F,18.9,93.3,93.8,94.5,19.7,
044529,North Olmsted City,Cuyahoga,Region 3,26669 Butternut Ridge Rd,"North Olmsted, OH, 44070-3154",(440) 779-3549,Michael E. Zalar,3726,D,F,Not Met,8.0,C,73.8,F,46.0,C,26.9,B,B,1.6,A,2.6,C,0.7,C,-0.1,NR,NC,A,A,93.2,B,94.5,C,47.9,94.7,95.0,95.3,11.0,
044537,North Ridgeville City,Lorain,Region 2,5490 Mills Creek Ln,"North Ridgeville, OH, 44039-2339",(440) 327-4444,James E. Powell,4161,D,F,Not Met,8.0,C,74.7,F,44.8,B,53.8,C,C,0.1,B,1.4,F,-5.3,D,-1.9,NR,NC,B,B,90.9,A,95.3,D,27.9,95.0,95.5,94.8,9.9,
044545,North Royalton City,Cuyahoga,Region 3,6579 Royalton Rd,"North Royalton, OH, 44133-4925",(440) 237-8800,Gregory J. Gurka,4123,B,D,Not Met,66.7,B,84.2,B,84.3,C,36.4,B,A,11.2,A,9.4,C,-0.4,C,-0.5,NR,NC,A,A,95.7,A,95.6,C,65.2,95.8,96.2,95.9,6.7,
044552,Norton City,Summit,Region 8,4128 Cleveland Massillon Rd,"Norton, OH, 44203-5633",(330) 825-0863,Dana W. Addis,2412,C,F,Not Met,29.2,C,77.9,D,66.9,C,38.3,C,C,-0.1,A,5.8,F,-4.5,C,-0.1,NR,NC,A,A,94.7,A,96.5,C,45.8,94.5,95.0,95.1,12.3,
044560,Norwalk City,Huron,Region 2,134 Benedict Ave,"Norwalk, OH, 44857-2349",(419) 668-2779,George E. Fisk,2723,D,F,Not Met,16.7,C,73.1,F,57.3,C,33.5,D,F,-7.8,C,-0.3,F,-5.5,F,-2.1,NR,NC,A,A,96.2,A,97.0,D,39.9,95.0,95.7,94.8,11.3,
044578,Norwood City,Hamilton,Region 13,2132 Williams Ave,"Norwood, OH, 45212-3806",(513) 924-2500,Katherine S. Sabo,2062,D,F,Not Met,4.2,C,71.8,F,32.4,C,47.4,B,A,2.5,D,-1.1,C,-0.2,C,0.4,NR,NC,C,D,82.4,C,88.3,F,22.6,94.1,94.2,94.6,16.5,
044586,Oakwood City,Montgomery,Region 10,20 Rubicon Rd,"Dayton, OH, 45409-2239",(937) 297-5332,KYLE B. RAMEY,2040,A,A,Met,100.0,A,90.3,B,80.5,B,61.4,B,A,14.8,A,11.5,B,1.0,C,-0.1,NR,NC,A,A,99.4,A,99.4,A,98.3,96.5,96.6,96.2,3.8,
044594,Oberlin City Schools,Lorain,Region 2,153 N Main St,"Oberlin, OH, 44074-1173",(440) 774-1458,David H. Hall,983,D,F,Not Met,8.3,C,74.3,F,49.1,C,35.5,C,C,-0.6,C,-0.2,F,-2.6,D,-1.9,NR,NC,B,B,89.2,A,95.6,C,46.5,94.6,94.7,94.7,14.9,
044602,Oregon City,Lucas,Region 1,5721 Seaman St,"Oregon, OH, 43616-2631",(419) 693-0661,Hal D. Gregory,3648,D,F,Not Met,12.5,C,74.2,F,52.0,NR,NC,C,C,0.6,F,-3.7,C,-0.8,B,1.9,NR,NC,A,A,93.5,A,95.1,D,30.9,94.4,94.5,94.7,14.4,
044610,Orrville City,Wayne,Region 9,815 N Ella St,"Orrville, OH, 44667-1154",(330) 682-4651,James J. Ritchie,1505,C,F,Not Met,25.0,C,75.8,C,79.1,NR,NC,B,B,1.8,B,1.3,C,-0.2,A,2.5,NR,NC,B,B,91.9,B,94.0,D,43.3,95.9,96.0,95.8,7.2,
044628,Painesville City Local,Lake,Region 4,58 Jefferson St,"Painesville, OH, 44077-3114",(440) 392-5060,John T. Shepard,2920,D,F,Not Met,0.0,D,56.6,F,7.4,C,24.8,C,C,-0.3,F,-2.0,F,-3.2,B,1.7,NR,NC,F,F,71.8,F,75.1,F,12.3,93.3,93.6,94.1,20.8,
044636,Parma City,Cuyahoga,Region 3,5311 Longwood Avenue,"Parma, OH, 44134-0932",(440) 842-5300,Carl H. Hilling,10652,D,F,Not Met,4.2,D,69.4,F,36.4,C,41.3,F,F,-20.5,F,-5.4,F,-12.8,F,-7.3,NR,NC,C,C,87.7,B,90.5,D,36.4,93.7,94.1,94.1,17.2,
044644,Piqua City,Miami,Region 10,719 E Ash St,"Piqua, OH, 45356-2411",(937) 773-4321,Dwayne A. Thompson,3130,D,F,Not Met,8.0,D,68.9,F,49.9,C,47.8,A,A,4.3,A,2.3,A,2.1,A,4.5,NR,NC,C,C,87.5,C,89.0,D,29.9,94.2,94.7,94.8,15.0,
044651,Port Clinton City,Ottawa,Region 1,811 Jefferson St,"Port Clinton, OH, 43452-2415",(419) 732-2102,Patrick D. Adkins,1782,D,F,Not Met,8.3,C,74.5,F,52.8,C,47.2,B,A,5.5,C,0.2,C,0.6,B,1.3,NR,NC,A,A,93.0,B,94.7,D,34.2,95.1,95.5,95.8,8.7,
044669,Portsmouth City,Scioto,Region 15,724 Findlay St,"Portsmouth, OH, 45662-4113",(740) 354-4727,Gary S. Dutey,1682,D,F,Not Met,4.2,D,61.1,F,20.0,D,17.9,B,B,1.4,A,2.2,F,-2.1,F,-2.0,NR,NC,D,D,79.6,C,88.5,F,23.3,93.9,94.5,94.6,17.2,
044677,Princeton City,Hamilton,Region 13,3900 Cottingham Dr,"Cincinnati, OH, 45241-1616",(513) 864-1000,Thomas S. Tucker,5619,D,F,Not Met,0.0,D,64.5,F,36.7,C,31.1,F,F,-22.7,F,-3.9,F,-12.6,F,-8.5,NR,NC,C,C,85.3,B,90.9,F,23.6,95.0,95.6,95.4,11.5,
044685,Ravenna City,Portage,Region 8,507 E Main St,"Ravenna, OH, 44266-3257",(330) 296-9679,Dennis M. Honkala,2362,D,F,Not Met,4.0,D,66.5,F,30.1,C,26.1,F,F,-15.6,F,-4.9,F,-3.8,F,-6.0,NR,NC,C,C,85.8,D,84.4,D,25.1,93.1,93.8,93.8,20.9,
044693,Reading Community City,Hamilton,Region 13,1301 Bonnell St,"Reading, OH, 45215-3322",(513) 554-1800,Charles R. Lafata,1585,D,F,Not Met,20.8,C,72.6,F,43.1,C,42.5,B,A,3.6,A,3.0,D,-1.3,C,0.4,NR,NC,B,B,90.5,B,91.4,D,29.6,94.1,94.5,94.4,16.5,
044701,Rocky River City,Cuyahoga,Region 3,1101 Morewood Pkwy,"Rocky River, OH, 44116-1439",(440) 333-6000,Michael G. Shoaf,2547,A,A,Not Met,95.8,A,91.2,B,84.3,B,57.1,A,A,17.1,A,11.9,A,2.7,B,1.4,NR,NC,A,A,99.1,A,99.0,B,87.3,96.7,96.9,96.7,3.5,
044719,St Bernard-Elmwood Place City,Hamilton,Region 13,105 Washington Ave,"Saint Bernard, OH, 45217-1317",(513) 482-7121,Mary Eleanor E. Webb,951,D,F,Not Met,0.0,D,67.7,F,36.8,C,32.8,B,B,1.3,C,0.5,C,0.5,A,2.7,NR,NC,C,C,84.9,B,94.1,F,16.2,93.8,94.3,93.9,18.9,
044727,St Marys City,Auglaize,Region 6,100 W Spring St,"Saint Marys, OH, 45885-2312",(419) 394-4312,Howard A. Overman,1972,C,F,Not Met,23.1,C,78.7,C,77.8,C,47.4,D,F,-9.9,C,-0.2,F,-4.6,F,-2.5,NR,NC,A,A,96.2,A,96.1,D,28.4,96.3,96.1,95.9,4.4,
044735,Salem City,Columbiana,Region 5,1226 E State St,"Salem, OH, 44460-2222",(330) 332-0316,Joseph A. Shivers,2050,D,F,Not Met,25.0,C,72.6,F,19.3,D,16.7,B,C,-0.5,D,-1.4,C,1.0,A,3.2,NR,NC,C,B,89.2,C,88.4,D,31.9,93.6,94.1,93.8,17.9,
044743,Sandusky City,Erie,Region 2,407 Decatur St,"Sandusky, OH, 44870-2442",(419) 626-6940,Eugene T. Sanders,3235,D,F,Not Met,0.0,D,58.5,F,17.0,C,33.2,D,D,-1.2,B,1.1,F,-3.6,F,-4.2,NR,NC,F,F,76.1,D,80.3,F,21.6,94.0,93.7,94.3,16.9,
044750,Shaker Heights City,Cuyahoga,Region 3,15600 Parkland Dr,"Shaker Heights, OH, 44120-2529",(216) 295-4000,Gregory C. Hutchings,5021,D,F,Not Met,3.7,C,73.0,F,58.0,C,39.9,D,F,-15.3,C,0.6,F,-6.9,F,-5.0,NR,NC,B,B,91.6,B,92.0,C,53.7,96.1,96.2,95.7,6.1,
044768,Sheffield-Sheffield Lake City,Lorain,Region 2,1824 Harris Rd,"Sheffield Village, OH, 44054-2628",(440) 949-6181,Michael F. Cook,1699,C,F,Not Met,16.7,C,75.3,B,85.0,D,21.2,D,F,-4.6,C,-0.3,D,-1.3,D,-1.9,NR,NC,B,B,92.7,B,93.7,D,40.5,94.6,94.9,95.1,11.6,
044776,Shelby City,Richland,Region 7,25 High School Ave,"Shelby, OH, 44875-1576",(419) 342-3520,Timothy S. Tarvin,1802,C,F,Not Met,28.0,C,76.9,D,61.4,B,50.3,B,A,3.1,C,0.9,D,-1.8,F,-2.0,NR,NC,C,C,86.0,B,91.1,D,42.1,95.9,96.3,96.6,5.0,
044784,Sidney City,Shelby,Region 6,750 S 4th Ave,"Sidney, OH, 45365-1163",(937) 497-2200,John F. Scheu,3205,D,F,Not Met,8.3,D,68.9,F,17.1,C,30.7,D,F,-3.1,C,-0.6,F,-4.6,F,-5.0,NR,NC,D,D,83.2,C,85.1,D,31.3,94.4,94.8,94.7,15.8,
044792,South Euclid-Lyndhurst City,Cuyahoga,Region 3,5044 Mayfield Rd,"Lyndhurst, OH, 44124-2605",(216) 691-2000,Linda N. Reid,3288,D,F,Not Met,0.0,D,62.7,F,28.1,C,32.2,F,F,-23.9,F,-5.5,F,-11.5,F,-9.8,NR,NC,C,D,81.0,B,90.3,F,23.2,95.4,94.9,95.2,9.8,
044800,South-Western City,Franklin,Region 11,3805 Marlane Dr,"Grove City, OH, 43123-9224",(614) 801-3000,William H. Wise,22218,D,F,Not Met,0.0,D,67.9,F,38.9,B,52.2,F,F,-16.6,F,-5.7,F,-11.4,F,-2.1,NR,NC,C,C,86.5,C,88.8,D,28.0,93.3,93.6,93.4,18.0,
044818,Springfield City School District,Clark,Region 10,1500 W Jefferson St,"Springfield, OH, 45506-1224",(937) 505-2800,Robert F. Hill,7719,D,F,Not Met,0.0,D,57.2,F,9.2,C,42.0,D,F,-8.2,A,2.9,C,-0.8,F,-3.5,NR,NC,F,F,75.4,D,80.9,F,18.2,93.3,93.6,93.7,21.5,Third Grade Reading Guarantee data may be incomplete due to local reporting error. Contact district for more information.
044826,Steubenville City,Jefferson,Region 12,PO Box 189,"Steubenville, OH, 43952-5189",(740) 283-3767,Melinda M. Young,2384,B,C,Not Met,70.8,B,85.0,B,89.8,B,73.1,A,A,18.4,A,5.8,A,3.3,A,6.4,NR,NC,A,A,96.8,A,97.2,D,26.7,95.7,95.1,94.5,7.0,
044834,Stow-Munroe Falls City School District,Summit,Region 8,4350 Allen Rd,"Stow, OH, 44224-1032",(330) 689-5445,Thomas P. Bratten,5007,D,F,Not Met,11.5,C,74.7,F,42.3,C,24.1,F,F,-26.7,F,-11.3,F,-10.8,F,-5.4,NR,NC,A,A,94.3,B,94.8,C,56.6,95.3,95.4,95.8,9.5,
044842,Strongsville City,Cuyahoga,Region 3,18199 Cook Ave,"Strongsville, OH, 44136-5216",(440) 572-7000,Cameron M. Ryba,5306,C,D,Not Met,50.0,C,79.8,D,66.2,C,38.7,B,B,1.9,A,3.9,F,-2.3,C,0.5,NR,NC,A,A,94.9,A,96.5,C,61.8,95.5,95.8,95.5,8.0,
044859,Struthers City,Mahoning,Region 5,99 Euclid Ave,"Struthers, OH, 44471-1831",(330) 750-1061,Peter J. Pirone,1834,D,F,Not Met,0.0,D,69.3,F,45.8,B,53.0,C,C,0.2,C,-0.4,F,-3.0,C,-0.4,NR,NC,B,B,91.2,A,95.9,D,29.1,94.1,94.4,94.1,14.3,
044867,Sycamore Community City,Hamilton,Region 13,5959 Hagewa Dr,"Blue Ash, OH, 45242-6240",(513) 686-1700,Frank A. Forsthoefel,5249,B,B,Not Met,87.5,B,86.3,B,84.9,C,45.9,A,A,16.4,A,13.5,A,2.9,A,3.3,NR,NC,A,A,96.0,A,97.3,B,79.4,96.2,95.8,95.7,5.5,
044875,Sylvania Schools,Lucas,Region 1,4747 N Holland Sylvania Rd,"Sylvania, OH, 43560-2116",(419) 824-8501,Adam D. Fineske,7554,C,F,Not Met,37.5,B,80.3,D,66.7,C,41.3,A,A,18.2,A,10.5,A,7.1,A,5.1,NR,NC,A,A,94.5,A,96.0,C,62.9,95.8,95.5,95.8,7.3,
044883,Tallmadge City,Summit,Region 8,486 East Ave,"Tallmadge, OH, 44278-2000",(330) 633-3291,Jeffrey M. Ferguson,2293,C,F,Not Met,16.7,C,75.2,F,53.2,C,32.7,F,F,-11.7,F,-3.9,F,-7.0,F,-3.3,NR,NC,A,A,96.4,A,98.0,C,59.2,95.2,95.3,95.5,10.4,
044891,Tiffin City,Seneca,Region 7,244 S Monroe St,"Tiffin, OH, 44883-2906",(419) 447-2515,Gary A. Barber,2577,D,F,Not Met,8.3,C,71.1,F,47.3,C,34.8,C,D,-1.0,A,2.1,F,-5.6,C,0.1,NR,NC,A,A,96.1,B,92.5,C,58.1,95.0,95.5,95.5,10.2,
044909,Toledo City,Lucas,Region 1,1609 N Summit St,"Toledo, OH, 43604-1806",(419) 671-0500,Romules L. Durant,22788,F,F,Not Met,0.0,D,53.3,F,21.1,D,20.5,D,F,-4.8,A,2.7,F,-5.1,D,-1.9,NR,NC,F,F,72.1,F,77.3,F,11.0,93.2,93.8,94.1,18.4,Educator and principal data may be incomplete due to local reporting error. Contact district for more information.
044917,Toronto City,Jefferson,Region 12,1307 Dennis Way,"Toronto, OH, 43964-1952",(740) 537-2456,Maureen R. Taggart,931,D,F,Not Met,4.2,D,64.9,D,60.7,D,14.3,F,F,-5.9,NR,NC,F,-2.7,F,-3.3,NR,NC,B,C,87.7,A,96.2,F,16.4,93.7,94.0,94.0,17.1,
044925,Troy City,Miami,Region 10,500 N Market St,"Troy, OH, 45373-1418",(937) 332-6700,Eric J. Herman,4127,D,F,Not Met,16.0,C,74.8,D,66.3,C,41.0,C,C,-0.9,D,-1.2,C,-0.2,D,-1.2,NR,NC,A,A,94.7,A,96.3,C,47.2,95.0,95.6,95.9,11.2,
044933,Upper Arlington City,Franklin,Region 11,1950 N Mallway Dr,"Upper Arlington, OH, 43221-4398",(614) 487-5000,Paul W. Imhoff,5708,B,C,Not Met,79.2,B,82.9,C,71.3,NR,NC,C,C,0.3,A,10.0,F,-5.8,D,-1.7,NR,NC,A,A,97.5,A,98.8,A,95.2,95.7,96.0,95.8,6.2,
044941,Urbana City,Champaign,Region 6,711 Wood St,"Urbana, OH, 43078-1498",(937) 653-1402,Charles B. Thiel,1943,D,F,Not Met,0.0,D,64.2,F,25.0,C,32.5,F,F,-11.3,F,-4.6,F,-3.9,F,-3.4,NR,NC,B,C,88.3,B,92.5,D,32.8,94.0,95.1,94.7,17.5,
044958,Vandalia-Butler City,Montgomery,Region 10,500 S Dixie Dr,"Vandalia, OH, 45377-2128",(937) 415-6400,Robert M. O'Leary,2781,C,F,Not Met,37.5,C,76.0,F,54.0,B,49.4,B,C,0.8,A,3.1,C,-0.7,B,1.4,NR,NC,A,B,91.6,A,98.8,C,50.9,95.6,95.8,95.7,7.6,
044966,Van Wert City,Van Wert,Region 1,205 W Crawford St,"Van Wert, OH, 45891-1903",(419) 238-0648,Staci A. Kaufman,2037,D,F,Not Met,0.0,C,71.3,F,52.2,A,78.1,B,C,0.8,B,1.9,B,1.6,C,0.8,NR,NC,A,A,99.2,A,96.2,C,48.1,96.0,96.2,96.4,6.1,
044974,Wadsworth City,Medina,Region 8,524 Broad St,"Wadsworth, OH, 44281-2306",(330) 336-3571,Andrew J. Hill,4591,C,D,Not Met,58.3,B,82.9,C,79.4,C,43.5,A,A,14.7,A,13.3,A,2.7,B,1.5,NR,NC,A,A,95.2,A,97.0,C,61.4,96.0,96.4,96.0,5.6,
044982,Wapakoneta City,Auglaize,Region 6,1102 Gardenia Dr,"Wapakoneta, OH, 45895-1063",(419) 739-2900,Keith W. Horner,3062,C,F,Not Met,20.0,C,75.9,D,69.0,D,23.3,D,F,-8.8,C,-0.8,F,-6.4,F,-5.9,NR,NC,A,A,95.3,B,93.5,C,45.6,95.1,95.7,95.6,11.6,
